-ართ ჭიჭე მუდგარენ, ზღაპარივით არის ეს.	This is like a small fairy tale.
ეთი დიიდ ბაბჷ ხომ ქორდ, დიიდ ბაბჷ.	I had a great grandfather.
ჩქიმ მუმა საერთოთ ნუ შხვანერ კოჩიდ თი დროს.	Generally, my father was a different man for his epoch.
ირთუდუნ ეფერ დო ბრელ ჸუდე აფ გჷმნათირა.	He moved a lot; he changed many homes.
ასე ონჯღორე რე თქუენ, მარა - ბრელი ეშ განათლება უღუდ, ჭკვერი დუ დო მორაგადეთ - ირკოჩიშ უჯგუში.	Well, it is a shame to say that but he changed many homes; however, he was educated. He was smart and spoke well.
ოდო ქალაქშა მიდაფთით ოცხოვრებშა.	He moved to the city to live there.
ჭიჭე ვორდი, თენა რე ეჟდოვითოჟირი.	I was little. It was in 1932.
ლეხი რე ჩქიმ მუმა.	My father was sick.
სოდე მეურს უნჩაშინ, თექ ოკოპუნთ ჩქი, აბა მუ ფქიმჷნათ დო ქიშმოტყვინეს, ბაბუქ დოღურუა, დიდ ბაბუქ.	Wherever he went, we followed. What could we do? We were informed that grandfather died, great grandfather.
დო მალაფთით, მუუთ?	And, what did we travel by?
ჩქიმ მუმა ცხენც გეხე, ჭიჭე ჯიმა მიჸუნცუ, სუმ წანერინ, ათაქ უკებ დო ჩქიი, მა, ჩქიმ დიდა დო უნჩაშ ინა, კუჩხით ეკოფთხოზუთუ.	My father was riding a horse. I have a younger brother. He was carrying him, and we: I, my mother and my elder borther were following him.
ეეჩი კილომეტრი, ეს ზღაპარივით რე, თიშენ გირაგადუქ.	We passed twenty kilometers. It is like a tale; that is why I am telling it.
ეჩი კილომეტრი მიდაფთით დო ქიმეფთით ბაბუშ ჸუჩა.	We passed twenty kilometers and came to grandfather's house.
ათე ბაბუ, ექ ოდას ჸუდეს ვარჷნ, ეთი ქუხნას დიდ ინა, შქა დიხასჷ ქუდუდგუმნა ინა დო ბაბჷ გილაჯან თაქ.	Grandfather didn't lay in the oda house. A big bench ws placed in the middle of the kitchem, and grandfather lay there
ასე იშო ვამნომრთუმ მა.	Well, I didn't enter.
ღურელ დღას ვამაფ ნაძირეფჷ, წარმოდგენილ ქჷგაფნო?	I haven never seen a dead. Can you imagine?
ოოდო ათაშ ქინთუოჯინით მა დო ბიძისკუა მიჸუნდ ხოლო ჭიჭეთ უკლაშ ჩქიმი.	And, I and my younger cousin looked at him. He was a little bit younger than me.
აათენა უჯინითოო, ბაბუშ ჩხვინდ ნებეტან ჟი აფ ეკუნელჷ.	When we looked at him, we saw that grandfather's nose was raised too high.
თენა ქობძირით დო გენწომიოლეს ძიცაქჷ.	We saw that and burst into laughter.
მუთუნით ვამმატებეს თექ, სოიშახ ოთხირეშა ვებდითჷ.	I couldn't stop it until we went to the hazelnut grove.
იახა ამდღა ხოლო მაძიცინუაფ.	I still laugh.
აართი.	This is one.
მაჟია რდუ ხოლო.	There was another.
ხოლო მა დო თი ჩქიმ ბიძისქუაქ მიდაფრთით, ღელე ქოიჩქჷნო მურენ?	Another one is that I and my cousin; do you know what 'gele' is?
-ქო.	Yes, I do.
ხომ ქოიჩქ?	Do you know what it is?
-ჭიჭე წყარი.	A small river.
-ო, დაგუბებული წყარი, მინ ლეტამ, მინ მუდგარენჷ დო შარაპიჯი რე.	Yeah, the riverr was dammed up, sometimes muddy, sometimes somethings, and it was along the road.
ჭიჭე ვორეთ, ჭიჭე, იმმა სკოლას ხოლო ქუორდიო, ვამიჩქ.	We were little; however, I don't remember whether we went to school or not.
ოდო კუ, თენას ოპჭოფუნთ, ენიბლენთ ღალჷშა.	And, we caught a turtle and went into the river.
ათაქ ქეწიფხუნუა, მალეპუნანქ შარას, ქუალეფ ქუგუნწკარი, ხოლო მაჟია ოკო ოპჭოფე.	I put it on my lap, took towards the road, putting stones around it. I wanted to catch another one.
მუშო მოკონ მისჷ უჩქჷ.	Nobody know what I want them for.
ოდო ქუმოფრთიო, ენა ვარე უკვე.	And, when I came back, the former one was no longer there; it escaped.
ა დო, ბოლოს ირო თაშ ქჷგმოსკიდჷ ოდო ათე ართ ჭოფილ მალეპონით დო მალაფთით ჸუჩა.	Finally, I was there. I took another turtle, which I caught, and went home.
სო?	I didn't know where to take it.
ვართ ჩქიმ ეზო, ვართი... არძას უღჷ ონჭა.	Neither to my nor to other people's yeard... Everybody has their "oncha" in their yeards.
ონჭა ქოიჩქჷნო?	Do you know what "oncha" is?
-ჭა, ხო?	A well, isn't it?
-ჭა.	A well.
-წყარიჲ ეშაღალარ.	To get water from.
-ონჭა მარგალურო.	The Megrelian for it is "oncha".
აათენა ირკოსჷ უღუდჷ დო მუ ბღოლათ თეს დო გებჭოფ დო იშ ქენთუოხუნე თექ.	We all had a well. What to do with the turtle? I put it into the well.
ქენუორაგვე, ააა ტომბარდ, დიიდუფ, ეენა მუჭო ფქიმინი მა.	I dropped it into it. It was deep. Alas, how did I do that?!
ჩქიმ ბაბუ, მითინიშ ვაფშჷ, მითინიშ დო ბაბუ მით უმეტეს მითინს ვალახუნდჷ, თენა ტყურარდ.	My grandfather. No one and, paticularly my grandfather used to beat me. That wasn't true.
თხირიშ ჭინჷ გეჭოფუ დო ძაამ მანგარო გობლახუ, ჭიჭე ბაღანა დო იმტი ოთხირეშა.	My grandfather took me a hazelnut twig and beat me brutally, and I ran away to the hazelnut grove.
ოთხირეშე იშო გინიბლი დო სოდგარენჷ ოო სერშა დო უკულ ობჭოფუ დო ქომხუტორუ დო ხომ ქოიჩქჷნია აა, მუზმა წანა რე, გაკვეთილ ვაგობჭყოლადჷ.	I left the hazelnut grove in the evening. Then, my grandfather caught me and hugged me; he said: "You do know what you did." So many years passed and I have not forgotten that lesson.
თენა ათეცალ, მეტ ბრელ მუთუნ ზღაპრულ, ბრელ მუთუნ, მარა ინა ასე ვაუხუჯანს, უკულ.	That is the story. There were so many fabulous ones; however, it is impossible to tell all of them.
ბეევრი ცხოვრება ბრელ მუთუნს გოძირანსჷ კოჩის.	Life can show one a lot.
ეზმა წანა ვართ უნაკლოთ ოდო ვართი შეუმჩნეველო ვემეურსუ.	Many years leave dissaponitments and traces.
ბრელი რე ენა დო ოშნერ მუდგარენჷ.	Many years passed and a lot happened.
